lat,lon,type,title,link
,,voyage,L'atelier du Voyage TANGIER,https://www.google.com/maps/place/L%27atelier+du+Voyage+TANGIER/data=!4m7!3m6!1s0xd0b8131f5301e4d:0xc13447de30a7788a!8m2!3d35.7737626!4d-5.8022015!16s%2Fg%2F11rk_39c6q!19sChIJTR4w9TGBCw0RininMN5HNME?authuser=0&hl=fr&rclk=1
,,voyage,Calypso Tour,https://www.google.com/maps/place/Calypso+Tour/data=!4m7!3m6!1s0xd0c7f53137abc53:0x7caf6b3e2369097e!8m2!3d35.7824664!4d-5.8125206!16s%2Fg%2F11h0q6rlp!19sChIJU7x6E1N_DA0RfglpIz5rr3w?authuser=0&hl=fr&rclk=1
,,voyage,ALKHABER TRAVEL AGENCE DE VOYAGE,https://www.google.com/maps/place/ALKHABER+TRAVEL+AGENCE+DE+VOYAGE/data=!4m7!3m6!1s0xd0c7fc475b49809:0x4f976fc3f4fcd700!8m2!3d35.7765006!4d-5.8059937!16s%2Fg%2F11fp844f0t!19sChIJCZi0dcR_DA0RANf89MNvl08?authuser=0&hl=fr&rclk=1
,,voyage,Agence de Voyages Ibn Batouta,https://www.google.com/maps/place/Agence+de+Voyages+Ibn+Batouta/data=!4m7!3m6!1s0xd0b81451233d105:0xb68c8192243b8ec9!8m2!3d35.7834981!4d-5.8084881!16s%2Fg%2F11fktz44x3!19sChIJBdEzEkWBCw0RyY47JJKBjLY?authuser=0&hl=fr&rclk=1
,,voyage,"AjiNsafro, Aji Nsafro","https://www.google.com/maps/place/AjiNsafro,+Aji+Nsafro/data=!4m7!3m6!1s0xd0b80a75bc40e9b:0x62e50ab11566d3e4!8m2!3d35.775212!4d-5.7992456!16s%2Fg%2F11c6gp9n_m!19sChIJmw7EW6eACw0R5NNmFbEK5WI?authuser=0&hl=fr&rclk=1"
,,voyage,SAVA TRAVEL AGENCY,https://www.google.com/maps/place/SAVA+TRAVEL+AGENCY/data=!4m7!3m6!1s0xd0b80a767392f51:0xc28a3dd45b514065!8m2!3d35.7760681!4d-5.8021887!16s%2Fg%2F11b5w0trg4!19sChIJUS85Z6eACw0RZUBRW9Q9isI?authuser=0&hl=fr&rclk=1
,,voyage,Voyage Tourisme Tanger,https://www.google.com/maps/place/Voyage+Tourisme+Tanger/data=!4m7!3m6!1s0xd0c7f4daa275739:0x783160555fd1f1ba!8m2!3d35.7883915!4d-5.8116091!16s%2Fg%2F1pp2vj6gf!19sChIJOVcnqk1_DA0RuvHRX1VgMXg?authuser=0&hl=fr&rclk=1
,,voyage,TRIPTOPDIJA,https://www.google.com/maps/place/TRIPTOPDIJA/data=!4m7!3m6!1s0xd0c7f1336e79a5d:0x74ef3e0dc10d82d7!8m2!3d35.7772779!4d-5.8061328!16s%2Fg%2F11nfbbt7px!19sChIJXZrnNhN_DA0R14INwQ0-73Q?authuser=0&hl=fr&rclk=1
,,voyage,Exmorocco,https://www.google.com/maps/place/Exmorocco/data=!4m7!3m6!1s0xd0b81aa9b926f41:0x607ba9c2440740db!8m2!3d35.7673529!4d-5.8076541!16s%2Fg%2F11txxwdm9b!19sChIJQW-Sm6qBCw0R20AHRMKpe2A?authuser=0&hl=fr&rclk=1
,,voyage,ALMA TRAVEL,https://www.google.com/maps/place/ALMA+TRAVEL/data=!4m7!3m6!1s0xd0b818485fb4331:0x344b6024240c288c!8m2!3d35.7739484!4d-5.8120278!16s%2Fg%2F11vj41gxf3!19sChIJMUP7hYSBCw0RjCgMJCRgSzQ?authuser=0&hl=fr&rclk=1
,,voyage,PRO WINGS,https://www.google.com/maps/place/PRO+WINGS/data=!4m7!3m6!1s0xd0c78a31224727d:0x513224658ee2a4b2!8m2!3d35.7864562!4d-5.8337875!16s%2Fg%2F11c1p4778j!19sChIJfXIkEqN4DA0RsqTijmUkMlE?authuser=0&hl=fr&rclk=1
,,voyage,Voyages du nord tanger ville,https://www.google.com/maps/place/Voyages+du+nord+tanger+ville/data=!4m7!3m6!1s0xd0c7f4f9f453b39:0xfe3d4356b502fd5b!8m2!3d35.7836649!4d-5.8085653!16s%2Fg%2F11srl2lwg8!19sChIJOTtFn09_DA0RW_0CtVZDPf4?authuser=0&hl=fr&rclk=1
,,voyage,Hit Voyages,https://www.google.com/maps/place/Hit+Voyages/data=!4m7!3m6!1s0xd0b8748e76e906b:0xe72e4968c718f00a!8m2!3d35.778901!4d-5.8103843!16s%2Fg%2F11b6j4mnp9!19sChIJa5Bu50iHCw0RCvAYx2hJLuc?authuser=0&hl=fr&rclk=1
,,voyage,BKAM TRAVEL,https://www.google.com/maps/place/BKAM+TRAVEL/data=!4m7!3m6!1s0xd0c7f5fe717fe11:0x1c33225963ca3ebc!8m2!3d35.7759369!4d-5.8022651!16s%2Fg%2F11h2fql5w8!19sChIJEf4X519_DA0RvD7KY1kiMxw?authuser=0&hl=fr&rclk=1
,,voyage,Voyages Mondozenith,https://www.google.com/maps/place/Voyages+Mondozenith/data=!4m7!3m6!1s0xd0c7f5874c03ef7:0xcac0fb0d1f4c22c2!8m2!3d35.77127!4d-5.806641!16s%2Fg%2F11b6j8bv2b!19sChIJ9z7AdFh_DA0RwiJMHw37wMo?authuser=0&hl=fr&rclk=1
,,voyage,Nord Frontiere,https://www.google.com/maps/place/Nord+Frontiere/data=!4m7!3m6!1s0xd0c7f5732f40009:0xed3cca6708d6a117!8m2!3d35.7807361!4d-5.8060728!16s%2Fg%2F11cly6nw2h!19sChIJCQD0Mld_DA0RF6HWCGfKPO0?authuser=0&hl=fr&rclk=1
,,voyage,Rif Planete,https://www.google.com/maps/place/Rif+Planete/data=!4m7!3m6!1s0xda7d31b2eb7bbe5:0x5804380efdf9af06!8m2!3d35.7819394!4d-5.8211133!16s%2Fg%2F11h0bkwv12!19sChIJ5bu3LhvTpw0RBq_5_Q44BFg?authuser=0&hl=fr&rclk=1
,,voyage,lehyan travel,https://www.google.com/maps/place/lehyan+travel/data=!4m7!3m6!1s0xd0c7f9a5675946f:0xe0a54f2075e5a4ee!8m2!3d35.7801607!4d-5.8122523!16s%2Fg%2F11h7130bly!19sChIJb5R1Vpp_DA0R7qTldSBPpeA?authuser=0&hl=fr&rclk=1
,,voyage,WLD BATUTA,https://www.google.com/maps/place/WLD+BATUTA/data=!4m7!3m6!1s0xd0b87f8cda1b3ef:0x945d811602426797!8m2!3d35.7553341!4d-5.7946619!16s%2Fg%2F11rtsdxgdq!19sChIJ77OhzfiHCw0Rl2dCAhaBXZQ?authuser=0&hl=fr&rclk=1
,,voyage,Hispamaroc,https://www.google.com/maps/place/Hispamaroc/data=!4m7!3m6!1s0xd0c7f53fedaa8cd:0x76e2780a35e38326!8m2!3d35.7799246!4d-5.8085963!16s%2Fg%2F11b6jh45l0!19sChIJzaja_lN_DA0RJoPjNQp44nY?authuser=0&hl=fr&rclk=1
,,voyage,Atlas Voyages,https://www.google.com/maps/place/Atlas+Voyages/data=!4m7!3m6!1s0xd0c789962975f19:0xddb2fc56b934627e!8m2!3d35.78103!4d-5.840617!16s%2Fg%2F11c0qxw0q1!19sChIJGV-XYpl4DA0RfmI0uVb8st0?authuser=0&hl=fr&rclk=1
,,voyage,MI SARI TOURS,https://www.google.com/maps/place/MI+SARI+TOURS/data=!4m7!3m6!1s0xd0b87559cd47829:0x23130214761afd50!8m2!3d35.7746939!4d-5.8101261!16s%2Fg%2F11b6hw_23h!19sChIJKXjUnFWHCw0RUP0adhQCEyM?authuser=0&hl=fr&rclk=1
,,voyage,Authentik Traveller Maroc,https://www.google.com/maps/place/Authentik+Traveller+Maroc/data=!4m7!3m6!1s0xd0b80d60fa301c5:0x54921d9b24d2e858!8m2!3d35.7322651!4d-5.8076474!16s%2Fg%2F11gbzb0hw0!19sChIJxQGjD9aACw0RWOjSJJsdklQ?authuser=0&hl=fr&rclk=1
,,voyage,VIP AFRICA,https://www.google.com/maps/place/VIP+AFRICA/data=!4m7!3m6!1s0xd0b874242442821:0x1b2ffdea926053f2!8m2!3d35.7739361!4d-5.799737!16s%2Fg%2F11bztfr0v5!19sChIJIShEQkKHCw0R8lNgkur9Lxs?authuser=0&hl=fr&rclk=1
,,voyage,Assa tours,https://www.google.com/maps/place/Assa+tours/data=!4m7!3m6!1s0xd0b871f7e6c2663:0x9238dca6be521781!8m2!3d35.758113!4d-5.8153969!16s%2Fg%2F11s4c21gxv!19sChIJYyZsfh-HCw0RgRdSvqbcOJI?authuser=0&hl=fr&rclk=1
,,voyage,Tokyo messagère,https://www.google.com/maps/place/Tokyo+messag%C3%A8re/data=!4m7!3m6!1s0xd0b816e0f1a9c25:0x5dca7b19581b8f47!8m2!3d35.766367!4d-5.8089273!16s%2Fg%2F11l8tsdt9p!19sChIJJZwaD26BCw0RR48bWBl7yl0?authuser=0&hl=fr&rclk=1
,,voyage,Gulliver,https://www.google.com/maps/place/Gulliver/data=!4m7!3m6!1s0xd0c7f52e7b8bcdd:0xbe1945256fa841!8m2!3d35.777159!4d-5.808187!16s%2Fg%2F11b6h_c_sy!19sChIJ3by451J_DA0RQahvJUUZvgA?authuser=0&hl=fr&rclk=1
,,voyage,Nejme chamal tanger bokhalaf,https://www.google.com/maps/place/Nejme+chamal+tanger+bokhalaf/data=!4m7!3m6!1s0xd0b87ac030e76fb:0x5b04fea71fd3621!8m2!3d35.7297197!4d-5.8798306!16s%2Fg%2F11hz15zlds!19sChIJ-3YOA6yHCw0RITb9cepPsAU?authuser=0&hl=fr&rclk=1
,,voyage,Voyage Inter Bus,https://www.google.com/maps/place/Voyage+Inter+Bus/data=!4m7!3m6!1s0xd0b87d6dfc0e06b:0x258dc8edb842675!8m2!3d35.7555587!4d-5.827889!16s%2Fg%2F11fmc72s2h!19sChIJa-DA39aHCw0RdSaE247cWAI?authuser=0&hl=fr&rclk=1
,,voyage,stars voyage,https://www.google.com/maps/place/stars+voyage/data=!4m7!3m6!1s0xd0b81b88e856371:0xa9ea718f11d31fc8!8m2!3d35.7528071!4d-5.8078002!16s%2Fg%2F11sfqgpb_v!19sChIJcWOFjriBCw0RyB_TEY9x6qk?authuser=0&hl=fr&rclk=1
,,voyage,L'ETOILE DE MARIA,https://www.google.com/maps/place/L%27ETOILE+DE+MARIA/data=!4m7!3m6!1s0xd0b8100acfb4e89:0x6222024526d02d18!8m2!3d35.7595063!4d-5.7926932!16s%2Fg%2F11h92xz_sv!19sChIJiU77rACBCw0RGC3QJkUCImI?authuser=0&hl=fr&rclk=1
